,Unnamed: 0,team_name,points,yards,pass_yards,rush_yards
0,0,ARI,25.4,344.2,242.9,101.3
1,1,ATL,21.0,316.7,200.8,115.9
2,2,BAL,17.1,306.0,185.2,120.8
3,3,BUF,25.0,366.8,246.9,119.9
4,4,CAR,18.0,278.0,197.4,80.6
5,5,CHI,22.1,319.0,213.0,106.0
6,6,CIN,19.9,323.0,200.6,122.4
7,7,CLE,25.9,313.7,222.0,91.7
8,8,DAL,24.5,348.3,235.7,112.5
9,9,DEN,25.9,283.2,197.7,85.5
10,10,DET,24.0,359.4,243.2,116.2
11,11,GB,23.0,340.1,234.4,105.7
12,12,HOU,26.2,344.8,252.8,92.0
13,13,IND,28.0,385.8,274.5,111.3
14,14,JAX,14.1,275.6,162.0,113.6
15,15,KC,22.0,383.0,253.8,129.2
16,16,LAC,18.4,339.5,206.0,133.5
17,17,LA,18.6,335.0,211.7,123.3
18,18,MIA,25.4,339.2,229.3,109.9
19,19,MIN,17.7,290.4,214.9,75.5
20,20,NE,20.3,401.9,282.0,119.9
21,21,NO,19.6,326.7,211.3,115.4
22,22,NYG,24.3,389.9,258.2,131.7
23,23,NYJ,22.2,346.9,229.0,117.9
24,24,OAK,24.7,367.1,253.3,113.8
25,25,PHI,18.8,306.8,235.8,71.0
26,26,PIT,16.5,287.6,190.0,97.6
27,27,SF,26.0,379.8,246.3,133.5
28,28,SEA,19.9,314.9,215.1,99.8
29,29,TB,22.8,383.5,276.3,107.2
30,30,TEN,25.3,330.4,241.2,89.2
31,31,WAS,25.1,346.0,234.2,111.8
